,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Castro,0,CL,1561715904,100,-42.48,-73.76,28.4,5.82
1,Boat of Garten,20,GB,1561716084,87,57.25,-3.76,72.0,4.7
2,New Norfolk,0,AU,1561715924,58,-42.78,147.06,59.0,9.17
3,Waingapu,1,ID,1561716086,69,-9.65,120.26,73.46,11.99
4,Narrabri,0,AU,1561716088,48,-30.33,149.78,62.01,4.7
5,Las Vegas,1,US,1561716060,15,36.17,-115.15,84.2,9.17
6,Mataura,4,NZ,1561715855,92,-46.19,168.86,43.0,5.01
7,Ribeira Grande,75,PT,1561716091,68,38.52,-28.7,64.4,10.29
8,Bambous Virieux,75,MU,1561716092,69,-20.34,57.76,77.0,18.34
9,Bredasdorp,40,ZA,1561715932,48,-34.53,20.04,62.6,17.22
10,Klaksvik,75,FO,1561716094,100,62.23,-6.59,48.2,11.41
11,Pisco,90,PE,1561716095,88,-13.71,-76.2,63.0,2.24
12,Dikson,12,RU,1561716097,93,73.51,80.55,33.86,3.09
13,Canatlan,19,MX,1561716098,64,24.52,-104.78,66.99,5.99
14,Airai,97,TL,1561716099,65,-8.93,125.41,73.46,2.89
15,Kapaa,90,US,1561716100,94,22.08,-159.32,77.0,4.7
16,Ostrovnoy,100,RU,1561715934,65,68.05,39.51,45.2,11.01
17,Albany,1,US,1561715679,100,42.65,-73.75,63.0,4.21
18,Provideniya,100,RU,1561716103,98,64.42,-173.23,45.92,3.94
19,Sao Filipe,9,CV,1561715870,86,14.9,-24.5,72.92,12.8
20,Butaritari,26,KI,1561716106,65,3.07,172.79,84.62,3.94
21,Ushuaia,40,AR,1561715583,100,-54.81,-68.31,26.6,10.29
22,Mount Isa,0,AU,1561716108,52,-20.73,139.49,64.4,2.24
23,Hobart,0,AU,1561715873,58,-42.88,147.33,59.0,9.17
24,Bluff,2,AU,1561715901,53,-23.58,149.07,62.3,14.97
25,Betare Oya,100,CM,1561716111,83,5.6,14.08,74.72,3.22
26,Boende,89,CD,1561716112,72,-0.28,20.88,79.22,4.36
27,Jalu,0,LY,1561716114,31,29.03,21.55,91.1,5.48
28,Port Alfred,0,ZA,1561715918,75,-33.59,26.89,64.0,3.0
29,Busselton,87,AU,1561715857,48,-33.64,115.35,50.0,14.81
30,Yellowknife,20,CA,1561715761,81,62.45,-114.38,48.2,8.05
31,Grindavik,90,IS,1561716119,87,63.84,-22.43,50.0,11.41
32,Cape Town,20,ZA,1561716001,72,-33.93,18.42,61.0,14.99
33,Ilulissat,75,GL,1561716121,94,69.22,-51.1,39.2,9.17
34,Beian,90,NO,1561716122,93,63.66,9.57,55.0,13.87
35,Ponta do Sol,0,BR,1561716123,86,-20.63,-46.0,58.7,4.63
36,Hithadhoo,93,MV,1561715876,68,-0.6,73.08,84.98,7.45
